ID,Number of words in title,American name?,View count
302,6,1,630000,
303,7,1,1600000,
304,6,0,1400000,
305,6,1,1200000,
306,10,0,444000,
307,11,1,754000,
308,7,1,1400000,
309,6,1,388000,
310,8,1,1400000,
311,9,1,1400000,
312,10,1,742000,
313,11,1,1300000,
314,10,1,1400000,
315,9,1,4600000,
316,8,0,309000,
317,7,1,1900000,
318,3,1,1200000,
319,4,0,2600000,
320,1,1,1200000,
321,5,1,1400000,
322,8,1,237000,
323,7,1,1500000,
324,9,0,1300000,
325,9,1,1300000,
326,6,1,1300000,
327,7,1,410000,
328,9,1,1200000,
329,7,1,1900000,
330,12,1,1400000,
331,8,1,2200000,
332,1,1,1300000,
333,10,0,1100000,
334,11,1,1200000,
335,10,1,1200000,
336,9,1,1500000,
337,8,1,2800000,
338,7,0,1100000,
339,7,0,1000000,
340,8,0,2400000,
341,8,1,1800000,
342,4,0,1200000,
343,8,0,208000,
344,7,1,169000,
345,6,1,290000,
346,7,1,1300000,
347,4,1,1700000,
348,8,1,712000,
349,11,0,1200000,
350,6,1,1300000,
351,6,0,358000,
352,8,1,1200000,
353,4,0,1400000,
354,3,0,1300000,
355,6,1,3900000,
356,11,1,1600000,
357,11,1,345000,
358,1,1,724000,
359,7,1,1100000,
360,4,1,385000,
361,6,1,1200000,
362,6,1,2400,
363,11,0,1000000,
364,5,1,464000,
365,8,1,1200000,
366,11,1,2100000,
367,7,1,770000,
368,6,1,1200000,
369,8,0,541000,
370,11,1,1200000,
371,8,1,1100000,
372,9,1,2200000,
373,6,0,3500000,
374,14,1,1200000,
375,6,1,1200000,
376,5,1,2100000,
377,9,0,1100000,
378,8,1,3300000,
379,11,0,1300000,
380,2,0,943000,
381,6,0,766000,
382,13,1,1300000,
383,2,1,1400000,
384,16,1,1800000,
385,7,1,1200000,
386,8,1,807000,
387,6,1,1300000,
388,4,0,1100000,
389,4,1,266000,
390,9,1,1300000,
391,6,1,550000,
392,9,1,1300000,
393,6,1,510000,
394,6,1,1100000,
395,11,1,183000,
396,10,0,1100000,
397,7,1,949000,
398,9,1,1200000,
399,10,1,1300000,
400,5,1,830000,
401,7,0,1300000,
402,7,1,459000,
403,9,1,1700000,
404,4,0,1200000,
405,4,1,2600000,
406,8,1,1600000,
407,5,1,2400000,
408,10,1,372000,
409,7,1,1200000,
410,2,1,249000,
411,9,1,1300000,
412,10,0,1200000,
413,8,1,1700000,
414,5,1,400000,
415,13,1,1300000,
416,1,0,1300000,
417,10,1,376000,
418,4,1,1100000,
419,6,0,1400000,
420,6,0,24000,
421,5,0,1200000,
422,6,0,254000,
423,10,1,1200000,
424,12,1,1400000,
425,15,1,502000,
426,6,1,624000,
427,7,1,1500000,
428,12,1,2000000,
429,10,1,1400000,
430,2,0,1200000,
431,13,1,1200000,
432,9,1,1300000,
433,14,1,1200000,
434,10,1,252000,
435,7,1,1100000,
436,8,1,1500000,
437,9,1,658000,
438,9,1,1600000,
439,2,0,24000,
440,3,0,11000,
441,10,1,1500000,
442,3,1,1900000,
443,8,1,304000,
444,4,1,1200000,
445,10,1,298000,
446,6,1,1400000,
447,9,1,1600000,
448,5,1,375000,
449,7,1,1600000,
450,9,1,3200000,
451,5,1,219000,
452,10,0,1400000,
453,6,0,1300000,
454,8,1,380000,
455,5,1,1500000,
456,3,1,10000000,
457,9,1,484000,
458,7,1,1500000,
459,10,1,1600000,
460,4,1,1600000,
461,9,1,1600000,
462,1,0,314000,
463,11,1,233000,
464,6,0,330000,
465,12,1,1300000,
466,5,1,1600000,
467,5,0,1400000,
468,10,1,1700000,
469,1,0,5900,
470,5,0,1100000,
471,5,1,546000,
472,7,1,240000,
473,13,1,1600000,
474,9,1,301000,
475,11,0,1300000,
476,7,0,739000,
477,3,1,1400000,
478,5,0,1500,
479,6,1,1300000,
480,6,0,801000,
481,7,1,1600000,
482,7,1,1600000,
483,4,1,146000,
484,9,1,1400000,
485,9,1,538000,
486,8,0,1300000,
487,17,0,99000,
488,16,0,2900,
489,8,0,1400000,
490,13,1,1800000,
491,11,0,3900000,
492,8,1,1500000,
493,12,1,462000,
494,11,0,1300000,
495,9,0,1300000,
